"","Video","Frame.no.","Date.of.video","Colony","Date.of.analysis","Treatment","Year","Observer.doing.the.analysis","Length.in.pixels.of.Zone2","Length.in.pixels.of.Zone1","End.of.bridge","Ant.choice","Ant.fed.on.the.feeder","Angle.measurement.1","Angle.measurement.2","Angle.measurement.3","Reason.for.NA..Angle.measurement.","Gaster.touching.the.paper","Comments"
"177","DSC_8833",1425,"7/3/2024","C2F24","2/9/2025","Experimental","2024","Tiffany",498.58,770.53,"Right","Correct","No",43.452,43.093,42.316,"",NA,""
"178","DSC_8833",1428,"7/3/2024","C2F24","2/9/2025","Experimental","2024","Tiffany",498.58,770.53,"Right","Correct","No",NA,NA,NA,"Ant very blurry",NA,""
"179","DSC_8833",1431,"7/3/2024","C2F24","2/9/2025","Experimental","2024","Tiffany",498.58,770.53,"Right","Correct","No",NA,NA,NA,"Ant very blurry",NA,""
"180","DSC_8833",1434,"7/3/2024","C2F24","2/9/2025","Experimental","2024","Tiffany",498.58,770.53,"Right","Correct","No",NA,NA,NA,"Ant very blurry",NA,""
"181","DSC_8833",1437,"7/3/2024","C2F24","2/9/2025","Experimental","2024","Tiffany",498.58,770.53,"Right","Correct","No",NA,NA,NA,"Ant very blurry",NA,""
"182","DSC_8833",1440,"7/3/2024","C2F24","2/9/2025","Experimental","2024","Tiffany",498.58,770.53,"Right","Correct","No",44.466,43.507,44.293,"","No",""
"183","DSC_8833",1443,"7/3/2024","C2F24","2/9/2025","Experimental","2024","Tiffany",498.58,770.53,"Right","Correct","No",NA,NA,NA,"Ant very blurry",NA,""
"184","DSC_8833",1446,"7/3/2024","C2F24","2/9/2025","Experimental","2024","Tiffany",498.58,770.53,"Right","Correct","No",NA,NA,NA,"Ant not completely sideways","No",""
"185","DSC_8833",1449,"7/3/2024","C2F24","2/9/2025","Experimental","2024","Tiffany",498.58,770.53,"Right","Correct","No",NA,NA,NA,"Ant not completely sideways",NA,""
"186","DSC_8833",1452,"7/3/2024","C2F24","2/9/2025","Experimental","2024","Tiffany",498.58,770.53,"Right","Correct","No",NA,NA,NA,"Ant not completely sideways",NA,""
"187","DSC_8908",5730,"7/18/2024","C2F24","3/2/2025","Control","2024","Tiffany",445.01,687.74,"Right","Correct","Yes",NA,NA,NA,"Ant very blurry",NA,"Ant was very blurry in every frame captured in video"
"188","DSC_8908",5733,"7/18/2024","C2F24","3/2/2025","Control","2024","Tiffany",445.01,687.74,"Right","Correct","Yes",NA,NA,NA,"Ant very blurry",NA,""
"189","DSC_8908",5736,"7/18/2024","C2F24","3/2/2025","Control","2024","Tiffany",445.01,687.74,"Right","Correct","Yes",NA,NA,NA,"Ant very blurry",NA,""
"190","DSC_8908",5739,"7/18/2024","C2F24","3/2/2025","Control","2024","Tiffany",445.01,687.74,"Right","Correct","Yes",NA,NA,NA,"Ant very blurry",NA,""
"191","DSC_8908",5742,"7/18/2024","C2F24","3/2/2025","Control","2024","Tiffany",445.01,687.74,"Right","Correct","Yes",NA,NA,NA,"Ant very blurry",NA,""
"192","DSC_8908",5745,"7/18/2024","C2F24","3/2/2025","Control","2024","Tiffany",445.01,687.74,"Right","Correct","Yes",NA,NA,NA,"Ant very blurry",NA,""
"193","DSC_8908",5748,"7/18/2024","C2F24","3/2/2025","Control","2024","Tiffany",445.01,687.74,"Right","Correct","Yes",NA,NA,NA,"Ant very blurry",NA,""
"194","DSC_8908",5751,"7/18/2024","C2F24","3/2/2025","Control","2024","Tiffany",445.01,687.74,"Right","Correct","Yes",NA,NA,NA,"Ant very blurry",NA,""
"195","DSC_8908",5754,"7/18/2024","C2F24","3/2/2025","Control","2024","Tiffany",445.01,687.74,"Right","Correct","Yes",NA,NA,NA,"Ant very blurry",NA,""
"196","DSC_8908",5757,"7/18/2024","C2F24","3/2/2025","Control","2024","Tiffany",445.01,687.74,"Right","Correct","Yes",NA,NA,NA,"Ant very blurry",NA,""
"197","DSC_8908",5760,"7/18/2024","C2F24","3/2/2025","Control","2024","Tiffany",445.01,687.74,"Right","Correct","Yes",NA,NA,NA,"Ant very blurry",NA,""
"198","DSC_8908",5763,"7/18/2024","C2F24","3/2/2025","Control","2024","Tiffany",445.01,687.74,"Right","Correct","Yes",NA,NA,NA,"Ant very blurry",NA,""
"199","DSC_8908",5766,"7/18/2024","C2F24","3/2/2025","Control","2024","Tiffany",445.01,687.74,"Right","Correct","Yes",NA,NA,NA,"Ant very blurry",NA,""
"200","DSC_8908",5769,"7/18/2024","C2F24","3/2/2025","Control","2024","Tiffany",445.01,687.74,"Right","Correct","Yes",NA,NA,NA,"Ant very blurry",NA,""
"201","DSC_8908",5772,"7/18/2024","C2F24","3/2/2025","Control","2024","Tiffany",445.01,687.74,"Right","Correct","Yes",NA,NA,NA,"Ant very blurry",NA,""
"202","DSC_8908",5775,"7/18/2024","C2F24","3/2/2025","Control","2024","Tiffany",445.01,687.74,"Right","Correct","Yes",NA,NA,NA,"Ant very blurry",NA,""
"203","DSC_8913",876,"7/19/2024","C3F24","3/12/2025","Control","2024","Tiffany",468.01,723.29,"Right","Correct","No",NA,NA,NA,"Ant very blurry",NA,""
"204","DSC_8913",879,"7/19/2024","C3F24","3/15/2025","Control","2024","Tiffany",468.01,723.29,"Right","Correct","No",NA,NA,NA,"Ant not completely sideways",NA,""
"205","DSC_8913",882,"7/19/2024","C3F24","3/15/2025","Control","2024","Tiffany",468.01,723.29,"Right","Correct","No",NA,NA,NA,"Ant not completely sideways",NA,""
"206","DSC_8913",885,"7/19/2024","C3F24","3/15/2025","Control","2024","Tiffany",468.01,723.29,"Right","Correct","No",NA,NA,NA,"Ant not completely sideways",NA,""
"207","DSC_8913",888,"7/19/2024","C3F24","3/15/2025","Control","2024","Tiffany",468.01,723.29,"Right","Correct","No",NA,NA,NA,"Ant very blurry",NA,""
